SR. No,Company Name,Company Details,Technology,,Paid Internship - Not allowed  
1,Apex Softech Software Solutions,http://www.apexsofttech.com/,Wordpress,,Ample Infotech - Not allowed
2,Bhavani Engineering,https://bhavaniengineering.co.in/,Android Application,,Foxmula - Not allowed 
3,Bista Solutions,https://www.bistasolutions.com/,Odoo software,,
4,Cilans System,https://www.cilans.net/,Data Analysis using Power BI,,
5,Cypheroxÿ Technologies Pvt Ltdÿ ,https://www.cypherox.com/,Android Application,,
6,Differenz system,https://www.differenzsystem.com/,Android Application,,
7,ElectoMech,https://www.electromech.info/,"AWS (Terraform, CICD pipeline)",,
8,Evernet Technologies,http://evernet-tech.com/,Website Development,,
9,F5systems,https://www.f5sys.com/home.php,Website development,,
10,FlyMeDigital Pvt Ltd,https://flymedigital.com/,E Commerce Platform Developement,,
11,GDO infotech Pvt Ltd (etherauthoriy),https://gdo.co.in/,Web Application (php and mysql),,
12,Global Bits ,http://globalbits.net/,Website development,,
13,Grey desk Pvt Ltd,https://www.greydeskinc.com/,Tracking app using QR code,,
14,Gurukrupa Enterprise,https://www.indiamart.com/gurukrupa-enterprise-gujarat/profile.html,Android Application,,
15,Horizon Webinfo Pvt Ltd,http://www.horizonwebinfo.com/,Android Application,,
16,I Can Infotech,https://www.icaninfotech.com/,Android Application,,
17,ICARUS SOLUTION,http://icarussolution.com/,Android Application,,
18,Inferno Infosec,https://www.infernoinfosec.in/,Web Application - Pen Testing and Reverse Engineering,,
19,Infosenseglobal,https://infosenseglobal.com/,AWS - ALEXA FOR SALES REPRESENTATIVE,,
20,Jeen Web Technologists pvt ltd,https://jeenweb.com/,Website development,,
21,Jinee Infotech,http://jinee.in/,Django CMS,,
22,KPMG,https://home.kpmg/xx/en/home.html,Data Analytics,,
23,L&T Power,https://www.lntpower.com/,Process Improvement For Digital Signature Application,,
24,Leadingindia,https://www.leadingindia.ai/,Object Detection in Computer Vision,,
25,Logistic InfoTech,https://www.logisticinfotech.com/,Web application,,
26,Mafatlal industries limited,https://www.mafatlals.com/,Web application,,
27,Msquare Technologies,https://msquaretec.com/,"Printshoppy App,  Local Authentication App",,
28,My TechWay Solutions,https://www.mytechway.com/,Android Application (Bookshelf App),,
29,Narayan Infotech,http://narayaninfotech.com/?i=1,Vegetable Ecommerce mobile application,,
30,Newtech Infosoft,https://newtechinfosoft.com/,Android Application,,
31,Profism Technology LLP,https://www.profism.com/,Android Application,,
32,Siccus Infotech,http://siccus.in/,Website development,,
33,Softsecure infotech private limited,http://applydigitalsignature.in/,Android Application,,
34,Softvan Pvt Ltd,https://softvan.in/,Python with Machine learning (Athlete Pose Detection),,
35,TechIndia infosolutions pvt ltd,http://techindiainfo.com/,Android Application,,
36,Time infotech,timeifotech.com,ORGANIC-SEO DIGITAL MARKETING,,
37,TM Systems Pvt Ltd,https://www.tmspl.com/,AWS (Text to speech using AWS Polly),,
38,Zonic digital inc,http://www.gozonic.com/,Website development,,
39,Sciative Solutions Private Ltd,https://www.sciative.com/,"Research Analyst Intern, Data Analytics",,
40,Light information Systems,https://www.nlpbots.com/,Mobile application development and NLP,,
41,Darwin Travel Tech Pvt Ltd,https://www.tripdarwin.com/,,,
42,Social 101,http://social101.in/,Seo & Web Development,,
43,Exposys,http://www.exposysdata.in/,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
